Date,Open,High,Low,Close,Volume
2021-10-15,12.85,12.89,12.06,12.33,833400
2021-10-18,12.32,12.57,11.85,12.28,432700
2021-10-19,12.45,12.61,11.97,12.55,1297700
2021-10-20,12.71,12.71,12.0,12.44,581700
2021-10-21,12.37,13.11,12.19,12.72,792900
2021-10-22,12.66,12.69,11.965,12.37,540100
2021-10-25,12.29,12.75,12.07,12.65,573200
2021-10-26,12.64,13.63,12.6,12.68,836800
2021-10-27,12.59,13.42,12.32,12.82,928500
2021-10-28,12.91,13.01,12.34,12.84,605300
2021-10-29,12.84,13.9,12.76,13.6,930500
2021-11-01,13.55,14.17,13.51,13.98,732100
2021-11-02,14.235,14.235,13.71,13.79,880500
2021-11-03,13.78,13.78,12.92,13.29,1075800
2021-11-04,13.35,13.726,12.84,12.94,604500
2021-11-05,13.13,13.284,12.38,12.49,488500
2021-11-08,12.73,12.88,12.52,12.69,485400
2021-11-09,12.932,12.932,11.74,11.91,677900
2021-11-10,11.73,11.87,10.77,11.19,895100
2021-11-11,11.25,11.47,11.0,11.02,383700
2021-11-12,10.99,11.02,10.43,10.6,817000
2021-11-15,10.73,10.89,9.9,10.49,1053100
2021-11-16,8.86,9.0,6.53,6.72,5856900
2021-11-17,6.62,7.38,6.26,7.08,3686000
2021-11-18,7.69,8.24,7.65,7.86,2604400
2021-11-19,7.78,7.81,7.2,7.27,1038700
2021-11-22,7.19,7.27,6.69,6.75,1088000
2021-11-23,6.7,6.81,6.33,6.59,1719400
2021-11-24,6.74,6.74,6.27,6.46,657400
2021-11-26,6.25,6.75,6.2,6.53,370600
2021-11-29,6.78,7.01,6.46,6.55,707900
2021-11-30,6.55,6.73,6.34,6.72,860600
2021-12-01,6.85,6.958,6.16,6.25,858400
2021-12-02,6.21,6.51,6.15,6.45,697500
2021-12-03,6.47,6.47,5.72,6.03,894100
2021-12-06,6.0,6.48,5.765,6.47,709900
2021-12-07,6.838,6.97,6.45,6.53,679900
2021-12-08,6.64,7.24,6.46,7.0,1035800
2021-12-09,6.87,7.11,6.53,6.54,765900
2021-12-10,6.6,6.79,6.11,6.38,895200
2021-12-13,6.38,6.38,5.92,6.23,708200
2021-12-14,6.23,6.5,6.11,6.41,472900
2021-12-15,6.32,6.52,5.75,6.51,903700
2021-12-16,6.55,6.59,6.2,6.25,657400
2021-12-17,5.953,6.58,5.815,6.43,1089400
2021-12-20,6.22,6.27,5.93,6.16,612800
2021-12-21,6.34,6.77,6.22,6.72,793900
2021-12-22,6.65,6.8,6.48,6.72,430400
2021-12-23,6.82,7.0,6.6,6.85,457600
2021-12-27,6.89,6.96,6.69,6.82,327100
2021-12-28,6.73,7.0,6.57,6.6,611500
2021-12-29,6.57,6.6,6.16,6.35,746600
2021-12-30,6.34,6.84,6.2,6.64,512200
2021-12-31,6.6,6.81,6.42,6.55,533600
2022-01-03,6.6,6.82,6.3,6.73,420900
2022-01-04,6.85,7.33,6.43,6.59,590400
2022-01-05,6.47,6.59,6.02,6.08,489900
2022-01-06,6.1,6.31,5.92,6.09,386600
2022-01-07,6.045,6.27,5.92,6.0,219400
2022-01-10,6.0,6.0,5.67,5.88,516700
2022-01-11,5.91,6.26,5.72,6.11,342900
2022-01-12,6.22,6.45,6.07,6.1,485700
2022-01-13,6.11,6.17,5.69,5.71,324200
2022-01-14,5.68,5.75,5.4,5.65,424500
2022-01-18,5.525,5.57,5.15,5.2,593100
2022-01-19,5.25,5.32,4.95,5.07,606200
2022-01-20,5.13,5.33,4.72,4.77,563800
2022-01-21,4.68,4.88,4.35,4.4,784800
